"","denovo40263","denovo11160","denovo24565","denovo33967","denovo15150","denovo3197","denovo38460","denovo16417","denovo11405","denovo7191","denovo31291","denovo1347","denovo29978","denovo30253","denovo24682","denovo7568","denovo24600","denovo34624","denovo19100","denovo5548","denovo28962","denovo12868","denovo8123","denovo16192","denovo29478","denovo6071","denovo42538","denovo2136","denovo11595","denovo6273","denovo4127","denovo41569","denovo11153","denovo2404","denovo25147","denovo24519","denovo4393","denovo25889","denovo8907","denovo3376","denovo34884","denovo10927","denovo5628","denovo22489","denovo37362","denovo35910","denovo19200","denovo24430","denovo21542","denovo35539","denovo14862","denovo9066","denovo1677","denovo13411","denovo41411","denovo38738"
"denovo40263",0,0.143396226415094,0.147727272727273,0.0817843866171004,0.217228464419476,0.198501872659176,0.147169811320755,0.179775280898876,0.154135338345865,0.158490566037736,0.1,0.151515151515152,0.154135338345865,0.157894736842105,0.205992509363296,0.154135338345865,0.158490566037736,0.207407407407407,0.0072202166064982,0.198501872659176,0.0036101083032491,0.0072202166064982,0.147727272727273,0.161654135338346,0.179775280898876,0.158490566037736,0.15530303030303,0.15530303030303,0.15530303030303,0.151515151515152,0.151515151515152,0.0698529411764706,0.151515151515152,0.162264150943396,0.196078431372549,0.166037735849057,0.198501872659176,0.15530303030303,0.0772058823529412,0.146616541353383,0.152091254752852,0.176029962546816,0.0735294117647059,0.203703703703704,0.154716981132075,0.202247191011236,0.150943396226415,0.158490566037736,0.143939393939394,0.157894736842105,0.151515151515152,0.150375939849624,0.202247191011236,0.165413533834586,0.147169811320755,0.165413533834586
"denovo11160",0.143396226415094,0,0.0261194029850746,0.162264150943396,0.188679245283019,0.162264150943396,0.0485074626865672,0.150943396226415,0.0557620817843866,0.0483271375464684,0.181818181818182,0.0335820895522388,0.0520446096654275,0.0631970260223048,0.169172932330827,0.0557620817843866,0.0483271375464684,0.168539325842697,0.143396226415094,0.162264150943396,0.139622641509434,0.143396226415094,0.0261194029850746,0.0631970260223048,0.150943396226415,0.0483271375464684,0.0373134328358209,0.0298507462686567,0.0261194029850746,0.0298507462686567,0.0261194029850746,0.166037735849057,0.0261194029850746,0.0520446096654275,0.101167315175097,0.0594795539033457,0.162264150943396,0.0335820895522388,0.162264150943396,0.0557620817843866,0.0526315789473684,0.147169811320755,0.169811320754717,0.168539325842697,0.0446096654275093,0.154716981132075,0.0522388059701493,0.0483271375464684,0.0298507462686567,0.0557620817843866,0.00746268656716418,0.0483271375464684,0.169172932330827,0.0669144981412639,0.0260223048327138,0.0669144981412639
"denovo24565",0.147727272727273,0.0261194029850746,0,0.162878787878788,0.189393939393939,0.162878787878788,0.0449438202247191,0.151515151515152,0.0522388059701493,0.0373134328358209,0.182509505703422,0.00746268656716418,0.0485074626865672,0.0634328358208955,0.166037735849057,0.0522388059701493,0.0373134328358209,0.165413533834586,0.147727272727273,0.162878787878788,0.143939393939394,0.147727272727273,0.00746268656716418,0.0597014925373134,0.151515151515152,0.0373134328358209,0.0261194029850746,0.0111940298507463,0.00746268656716418,0.00373134328358209,0.00746268656716418,0.174242424242424,0.00746268656716418,0.041044776119403,0.08984375,0.0485074626865672,0.162878787878788,0.00746268656716418,0.170454545454545,0.0522388059701493,0.0490566037735849,0.147727272727273,0.170454545454545,0.165413533834586,0.0335820895522388,0.15530303030303,0.048689138576779,0.0373134328358209,0.00373134328358209,0.0522388059701493,0.0299625468164794,0.0447761194029851,0.166037735849057,0.0634328358208955,0.0298507462686567,0.0634328358208955
"denovo33967",0.0817843866171004,0.162264150943396,0.162878787878788,0,0.208955223880597,0.182835820895522,0.170454545454545,0.182835820895522,0.181132075471698,0.173584905660377,0.0789473684210526,0.166666666666667,0.181132075471698,0.188679245283019,0.194029850746269,0.177358490566038,0.173584905660377,0.200743494423792,0.0817843866171004,0.190298507462687,0.0855018587360595,0.0892193308550186,0.162878787878788,0.192452830188679,0.182835820895522,0.173584905660377,0.166666666666667,0.174242424242424,0.170454545454545,0.162878787878788,0.166666666666667,0.0259259259259259,0.170454545454545,0.177358490566038,0.209486166007905,0.181132075471698,0.190298507462687,0.166666666666667,0.0259259259259259,0.181132075471698,0.179389312977099,0.17910447761194,0.0111111111111111,0.200743494423792,0.169811320754717,0.194029850746269,0.174242424242424,0.173584905660377,0.166666666666667,0.184905660377358,0.162878787878788,0.177358490566038,0.194029850746269,0.19622641509434,0.177358490566038,0.19622641509434
"denovo15150",0.217228464419476,0.188679245283019,0.189393939393939,0.208955223880597,0,0.0551470588235294,0.185606060606061,0.107407407407407,0.19622641509434,0.184905660377358,0.211320754716981,0.193181818181818,0.19622641509434,0.207547169811321,0.0590405904059041,0.192452830188679,0.184905660377358,0.223048327137546,0.224719101123595,0.0551470588235294,0.220973782771536,0.224719101123595,0.193181818181818,0.20377358490566,0.107407407407407,0.184905660377358,0.208333333333333,0.200757575757576,0.196969696969697,0.189393939393939,0.196969696969697,0.216417910447761,0.196969696969697,0.181132075471698,0.237154150197628,0.188679245283019,0.0551470588235294,0.193181818181818,0.212686567164179,0.192452830188679,0.198473282442748,0.103703703703704,0.220149253731343,0.215613382899628,0.181132075471698,0.0551470588235294,0.189393939393939,0.184905660377358,0.193181818181818,0.2,0.185606060606061,0.192452830188679,0.0479704797047971,0.207547169811321,0.19622641509434,0.207547169811321
"denovo3197",0.198501872659176,0.162264150943396,0.162878787878788,0.182835820895522,0.0551470588235294,0,0.159090909090909,0.0740740740740741,0.169811320754717,0.169811320754717,0.192452830188679,0.166666666666667,0.169811320754717,0.181132075471698,0.033210332103321,0.166037735849057,0.169811320754717,0.193308550185874,0.198501872659176,0.00735294117647059,0.202247191011236,0.205992509363296,0.166666666666667,0.177358490566038,0.0740740740740741,0.169811320754717,0.181818181818182,0.174242424242424,0.170454545454545,0.162878787878788,0.170454545454545,0.190298507462687,0.170454545454545,0.173584905660377,0.213438735177866,0.173584905660377,0.00735294117647059,0.166666666666667,0.186567164179104,0.166037735849057,0.17175572519084,0.0703703703703704,0.194029850746269,0.185873605947955,0.166037735849057,0.0330882352941176,0.162878787878788,0.169811320754717,0.166666666666667,0.173584905660377,0.159090909090909,0.166037735849057,0.03690036900369,0.181132075471698,0.166037735849057,0.181132075471698
"denovo38460",0.147169811320755,0.0485074626865672,0.0449438202247191,0.170454545454545,0.185606060606061,0.159090909090909,0,0.140151515151515,0.014760147601476,0.0597014925373134,0.189393939393939,0.052434456928839,0.011070110701107,0.025830258302583,0.166037735849057,0.014760147601476,0.0597014925373134,0.157303370786517,0.154716981132075,0.159090909090909,0.150943396226415,0.154716981132075,0.0449438202247191,0.029520295202952,0.140151515151515,0.0597014925373134,0.0561797752808989,0.048689138576779,0.0449438202247191,0.048689138576779,0.0449438202247191,0.174242424242424,0.0449438202247191,0.0634328358208955,0.104651162790698,0.0708955223880597,0.159090909090909,0.052434456928839,0.170454545454545,0.022140221402214,0.0149253731343284,0.136363636363636,0.178030303030303,0.157303370786517,0.0559701492537313,0.15530303030303,0.003690036900369,0.0597014925373134,0.048689138576779,0.014760147601476,0.052434456928839,0.00738007380073801,0.166037735849057,0.033210332103321,0.041044776119403,0.033210332103321
"denovo16417",0.179775280898876,0.150943396226415,0.151515151515152,0.182835820895522,0.107407407407407,0.0740740740740741,0.140151515151515,0,0.150943396226415,0.158490566037736,0.184210526315789,0.15530303030303,0.150943396226415,0.162264150943396,0.0780669144981413,0.147169811320755,0.158490566037736,0.166666666666667,0.187265917602996,0.0740740740740741,0.183520599250936,0.187265917602996,0.159090909090909,0.169811320754717,0.00738007380073801,0.158490566037736,0.162878787878788,0.162878787878788,0.159090909090909,0.151515151515152,0.159090909090909,0.186567164179104,0.159090909090909,0.162264150943396,0.217391304347826,0.162264150943396,0.0740740740740741,0.15530303030303,0.190298507462687,0.150943396226415,0.148854961832061,0.003690036900369,0.190298507462687,0.166666666666667,0.154716981132075,0.0851851851851852,0.143939393939394,0.158490566037736,0.15530303030303,0.154716981132075,0.147727272727273,0.147169811320755,0.0817843866171004,0.173584905660377,0.147169811320755,0.173584905660377
"denovo11405",0.154135338345865,0.0557620817843866,0.0522388059701493,0.181132075471698,0.19622641509434,0.169811320754717,0.014760147601476,0.150943396226415,0,0.0669144981412639,0.2,0.0597014925373134,0.00367647058823529,0.0183823529411765,0.176691729323308,0.0220588235294118,0.0669144981412639,0.152985074626866,0.161654135338346,0.169811320754717,0.157894736842105,0.161654135338346,0.0522388059701493,0.0367647058823529,0.150943396226415,0.0669144981412639,0.0634328358208955,0.0559701492537313,0.0447761194029851,0.0559701492537313,0.0522388059701493,0.184905660377358,0.0522388059701493,0.0706319702602231,0.104651162790698,0.0780669144981413,0.169811320754717,0.0597014925373134,0.181132075471698,0.0294117647058824,0.00743494423791821,0.147169811320755,0.188679245283019,0.152985074626866,0.0631970260223048,0.169811320754717,0.018450184501845,0.0669144981412639,0.0559701492537313,0.00735294117647059,0.0597014925373134,0.0147058823529412,0.176691729323308,0.0404411764705882,0.0483271375464684,0.0404411764705882
"denovo7191",0.158490566037736,0.0483271375464684,0.0373134328358209,0.173584905660377,0.184905660377358,0.169811320754717,0.0597014925373134,0.158490566037736,0.0669144981412639,0,0.185606060606061,0.0447761194029851,0.0631970260223048,0.0780669144981413,0.176691729323308,0.0669144981412639,0.00743494423791821,0.179775280898876,0.166037735849057,0.169811320754717,0.162264150943396,0.166037735849057,0.0373134328358209,0.0817843866171004,0.158490566037736,0.00743494423791821,0.0485074626865672,0.041044776119403,0.0373134328358209,0.041044776119403,0.0373134328358209,0.184905660377358,0.0373134328358209,0.0111524163568773,0.105058365758755,0.0185873605947955,0.169811320754717,0.0447761194029851,0.181132075471698,0.0669144981412639,0.0601503759398496,0.154716981132075,0.181132075471698,0.176029962546816,0.00371747211895911,0.166037735849057,0.0634328358208955,0.00743494423791821,0.041044776119403,0.0669144981412639,0.0522388059701493,0.0594795539033457,0.169172932330827,0.0855018587360595,0.0520446096654275,0.0855018587360595
"denovo31291",0.1,0.181818181818182,0.182509505703422,0.0789473684210526,0.211320754716981,0.192452830188679,0.189393939393939,0.184210526315789,0.2,0.185606060606061,0,0.186311787072243,0.2,0.20377358490566,0.19622641509434,0.192452830188679,0.185606060606061,0.222222222222222,0.107407407407407,0.192452830188679,0.103703703703704,0.107407407407407,0.182509505703422,0.215094339622642,0.176691729323308,0.185606060606061,0.190114068441065,0.190114068441065,0.190114068441065,0.186311787072243,0.186311787072243,0.0594795539033457,0.186311787072243,0.189393939393939,0.237154150197628,0.185606060606061,0.192452830188679,0.190114068441065,0.0743494423791822,0.192452830188679,0.198473282442748,0.180451127819549,0.0743494423791822,0.225925925925926,0.181818181818182,0.188679245283019,0.193181818181818,0.185606060606061,0.186311787072243,0.20377358490566,0.182509505703422,0.19622641509434,0.192452830188679,0.218867924528302,0.189393939393939,0.218867924528302
"denovo1347",0.151515151515152,0.0335820895522388,0.00746268656716418,0.166666666666667,0.193181818181818,0.166666666666667,0.052434456928839,0.15530303030303,0.0597014925373134,0.0447761194029851,0.186311787072243,0,0.0559701492537313,0.0708955223880597,0.169811320754717,0.0597014925373134,0.0447761194029851,0.169172932330827,0.151515151515152,0.166666666666667,0.147727272727273,0.151515151515152,0.0149253731343284,0.0671641791044776,0.15530303030303,0.0447761194029851,0.0335820895522388,0.0186567164179104,0.0149253731343284,0.00373134328358209,0.0149253731343284,0.178030303030303,0.0149253731343284,0.0485074626865672,0.09765625,0.0559701492537313,0.166666666666667,0.00746268656716418,0.174242424242424,0.0597014925373134,0.0566037735849057,0.151515151515152,0.174242424242424,0.169172932330827,0.041044776119403,0.159090909090909,0.0561797752808989,0.0447761194029851,0.0111940298507463,0.0597014925373134,0.0374531835205992,0.0522388059701493,0.169811320754717,0.0708955223880597,0.0373134328358209,0.0708955223880597
"denovo29978",0.154135338345865,0.0520446096654275,0.0485074626865672,0.181132075471698,0.19622641509434,0.169811320754717,0.011070110701107,0.150943396226415,0.00367647058823529,0.0631970260223048,0.2,0.0559701492537313,0,0.0147058823529412,0.176691729323308,0.0183823529411765,0.0631970260223048,0.152985074626866,0.161654135338346,0.169811320754717,0.157894736842105,0.161654135338346,0.0485074626865672,0.0330882352941176,0.150943396226415,0.0631970260223048,0.0597014925373134,0.0522388059701493,0.041044776119403,0.0522388059701493,0.0485074626865672,0.184905660377358,0.0485074626865672,0.0669144981412639,0.10077519379845,0.0743494423791822,0.169811320754717,0.0559701492537313,0.181132075471698,0.0257352941176471,0.00371747211895911,0.147169811320755,0.188679245283019,0.152985074626866,0.0594795539033457,0.166037735849057,0.014760147601476,0.0631970260223048,0.0522388059701493,0.00367647058823529,0.0559701492537313,0.0110294117647059,0.176691729323308,0.0367647058823529,0.0446096654275093,0.0367647058823529
"denovo30253",0.157894736842105,0.0631970260223048,0.0634328358208955,0.188679245283019,0.207547169811321,0.181132075471698,0.025830258302583,0.162264150943396,0.0183823529411765,0.0780669144981413,0.20377358490566,0.0708955223880597,0.0147058823529412,0,0.18796992481203,0.0330882352941176,0.0780669144981413,0.16044776119403,0.165413533834586,0.181132075471698,0.161654135338346,0.165413533834586,0.0634328358208955,0.0477941176470588,0.162264150943396,0.0780669144981413,0.0746268656716418,0.0671641791044776,0.0559701492537313,0.0671641791044776,0.0634328358208955,0.192452830188679,0.0634328358208955,0.0817843866171004,0.116279069767442,0.0892193308550186,0.181132075471698,0.0708955223880597,0.188679245283019,0.0404411764705882,0.0185873605947955,0.158490566037736,0.19622641509434,0.16044776119403,0.0743494423791822,0.177358490566038,0.029520295202952,0.0780669144981413,0.0634328358208955,0.0183823529411765,0.0671641791044776,0.0257352941176471,0.18796992481203,0.0514705882352941,0.0594795539033457,0.0514705882352941
"denovo24682",0.205992509363296,0.169172932330827,0.166037735849057,0.194029850746269,0.0590405904059041,0.033210332103321,0.166037735849057,0.0780669144981413,0.176691729323308,0.176691729323308,0.19622641509434,0.169811320754717,0.176691729323308,0.18796992481203,0,0.172932330827068,0.176691729323308,0.194029850746269,0.213483146067416,0.033210332103321,0.209737827715356,0.213483146067416,0.169811320754717,0.184210526315789,0.0780669144981413,0.176691729323308,0.184905660377358,0.177358490566038,0.173584905660377,0.166037735849057,0.173584905660377,0.201492537313433,0.173584905660377,0.180451127819549,0.224409448818898,0.184210526315789,0.033210332103321,0.169811320754717,0.197761194029851,0.172932330827068,0.178707224334601,0.0743494423791822,0.205223880597015,0.186567164179104,0.172932330827068,0.03690036900369,0.169811320754717,0.176691729323308,0.169811320754717,0.180451127819549,0.166037735849057,0.172932330827068,0.0183823529411765,0.18796992481203,0.165413533834586,0.18796992481203
"denovo7568",0.154135338345865,0.0557620817843866,0.0522388059701493,0.177358490566038,0.192452830188679,0.166037735849057,0.014760147601476,0.147169811320755,0.0220588235294118,0.0669144981412639,0.192452830188679,0.0597014925373134,0.0183823529411765,0.0330882352941176,0.172932330827068,0,0.0669144981412639,0.164179104477612,0.161654135338346,0.166037735849057,0.157894736842105,0.161654135338346,0.0522388059701493,0.0367647058823529,0.147169811320755,0.0669144981412639,0.0634328358208955,0.0559701492537313,0.0522388059701493,0.0559701492537313,0.0522388059701493,0.177358490566038,0.0522388059701493,0.0706319702602231,0.112403100775194,0.0780669144981413,0.166037735849057,0.0597014925373134,0.177358490566038,0.0294117647058824,0.0223048327137546,0.143396226415094,0.184905660377358,0.171641791044776,0.0631970260223048,0.162264150943396,0.018450184501845,0.0669144981412639,0.0559701492537313,0.0220588235294118,0.0597014925373134,0.00735294117647059,0.165413533834586,0.0404411764705882,0.0483271375464684,0.0404411764705882
"denovo24600",0.158490566037736,0.0483271375464684,0.0373134328358209,0.173584905660377,0.184905660377358,0.169811320754717,0.0597014925373134,0.158490566037736,0.0669144981412639,0.00743494423791821,0.185606060606061,0.0447761194029851,0.0631970260223048,0.0780669144981413,0.176691729323308,0.0669144981412639,0,0.179775280898876,0.166037735849057,0.169811320754717,0.162264150943396,0.166037735849057,0.0373134328358209,0.0817843866171004,0.158490566037736,0.00743494423791821,0.0485074626865672,0.041044776119403,0.0373134328358209,0.041044776119403,0.0373134328358209,0.184905660377358,0.0373134328358209,0.0111524163568773,0.105058365758755,0.0185873605947955,0.169811320754717,0.0447761194029851,0.181132075471698,0.0669144981412639,0.0601503759398496,0.154716981132075,0.181132075471698,0.176029962546816,0.00371747211895911,0.166037735849057,0.0634328358208955,0.00743494423791821,0.041044776119403,0.0669144981412639,0.0522388059701493,0.0594795539033457,0.169172932330827,0.0855018587360595,0.0520446096654275,0.0855018587360595
"denovo34624",0.207407407407407,0.168539325842697,0.165413533834586,0.200743494423792,0.223048327137546,0.193308550185874,0.157303370786517,0.166666666666667,0.152985074626866,0.179775280898876,0.222222222222222,0.169172932330827,0.152985074626866,0.16044776119403,0.194029850746269,0.164179104477612,0.179775280898876,0,0.214814814814815,0.193308550185874,0.211111111111111,0.214814814814815,0.161654135338346,0.17910447761194,0.162962962962963,0.179775280898876,0.172932330827068,0.169172932330827,0.157894736842105,0.165413533834586,0.161654135338346,0.204460966542751,0.165413533834586,0.183520599250936,0.21484375,0.179775280898876,0.193308550185874,0.169172932330827,0.197026022304833,0.167910447761194,0.154716981132075,0.162962962962963,0.204460966542751,0.0218978102189781,0.176029962546816,0.197026022304833,0.161048689138577,0.179775280898876,0.169172932330827,0.156716417910448,0.165413533834586,0.164179104477612,0.194029850746269,0.182835820895522,0.161048689138577,0.182835820895522
"denovo19100",0.0072202166064982,0.143396226415094,0.147727272727273,0.0817843866171004,0.224719101123595,0.198501872659176,0.154716981132075,0.187265917602996,0.161654135338346,0.166037735849057,0.107407407407407,0.151515151515152,0.161654135338346,0.165413533834586,0.213483146067416,0.161654135338346,0.166037735849057,0.214814814814815,0,0.205992509363296,0.0036101083032491,0.0072202166064982,0.147727272727273,0.161654135338346,0.187265917602996,0.166037735849057,0.15530303030303,0.15530303030303,0.15530303030303,0.151515151515152,0.151515151515152,0.0698529411764706,0.151515151515152,0.169811320754717,0.192156862745098,0.173584905660377,0.205992509363296,0.15530303030303,0.0772058823529412,0.154135338345865,0.159695817490494,0.183520599250936,0.0735294117647059,0.211111111111111,0.162264150943396,0.205992509363296,0.158490566037736,0.166037735849057,0.143939393939394,0.165413533834586,0.151515151515152,0.157894736842105,0.209737827715356,0.165413533834586,0.147169811320755,0.165413533834586
"denovo5548",0.198501872659176,0.162264150943396,0.162878787878788,0.190298507462687,0.0551470588235294,0.00735294117647059,0.159090909090909,0.0740740740740741,0.169811320754717,0.169811320754717,0.192452830188679,0.166666666666667,0.169811320754717,0.181132075471698,0.033210332103321,0.166037735849057,0.169811320754717,0.193308550185874,0.205992509363296,0,0.202247191011236,0.205992509363296,0.166666666666667,0.177358490566038,0.0740740740740741,0.169811320754717,0.181818181818182,0.174242424242424,0.170454545454545,0.162878787878788,0.170454545454545,0.197761194029851,0.170454545454545,0.173584905660377,0.209486166007905,0.173584905660377,0.00735294117647059,0.166666666666667,0.194029850746269,0.166037735849057,0.17175572519084,0.0703703703703704,0.201492537313433,0.185873605947955,0.166037735849057,0.0330882352941176,0.162878787878788,0.169811320754717,0.166666666666667,0.173584905660377,0.159090909090909,0.166037735849057,0.03690036900369,0.181132075471698,0.166037735849057,0.181132075471698
"denovo28962",0.0036101083032491,0.139622641509434,0.143939393939394,0.0855018587360595,0.220973782771536,0.202247191011236,0.150943396226415,0.183520599250936,0.157894736842105,0.162264150943396,0.103703703703704,0.147727272727273,0.157894736842105,0.161654135338346,0.209737827715356,0.157894736842105,0.162264150943396,0.211111111111111,0.0036101083032491,0.202247191011236,0,0.0036101083032491,0.143939393939394,0.157894736842105,0.183520599250936,0.162264150943396,0.151515151515152,0.151515151515152,0.151515151515152,0.147727272727273,0.147727272727273,0.0735294117647059,0.147727272727273,0.166037735849057,0.192156862745098,0.169811320754717,0.202247191011236,0.151515151515152,0.0808823529411765,0.150375939849624,0.155893536121673,0.179775280898876,0.0772058823529412,0.207407407407407,0.158490566037736,0.202247191011236,0.154716981132075,0.162264150943396,0.140151515151515,0.161654135338346,0.147727272727273,0.154135338345865,0.205992509363296,0.161654135338346,0.143396226415094,0.161654135338346
"denovo12868",0.0072202166064982,0.143396226415094,0.147727272727273,0.0892193308550186,0.224719101123595,0.205992509363296,0.154716981132075,0.187265917602996,0.161654135338346,0.166037735849057,0.107407407407407,0.151515151515152,0.161654135338346,0.165413533834586,0.213483146067416,0.161654135338346,0.166037735849057,0.214814814814815,0.0072202166064982,0.205992509363296,0.0036101083032491,0,0.147727272727273,0.161654135338346,0.187265917602996,0.166037735849057,0.15530303030303,0.15530303030303,0.15530303030303,0.151515151515152,0.151515151515152,0.0772058823529412,0.151515151515152,0.169811320754717,0.196078431372549,0.173584905660377,0.205992509363296,0.15530303030303,0.0845588235294118,0.154135338345865,0.159695817490494,0.183520599250936,0.0808823529411765,0.211111111111111,0.162264150943396,0.205992509363296,0.158490566037736,0.166037735849057,0.143939393939394,0.165413533834586,0.151515151515152,0.157894736842105,0.209737827715356,0.165413533834586,0.147169811320755,0.165413533834586
"denovo8123",0.147727272727273,0.0261194029850746,0.00746268656716418,0.162878787878788,0.193181818181818,0.166666666666667,0.0449438202247191,0.159090909090909,0.0522388059701493,0.0373134328358209,0.182509505703422,0.0149253731343284,0.0485074626865672,0.0634328358208955,0.169811320754717,0.0522388059701493,0.0373134328358209,0.161654135338346,0.147727272727273,0.166666666666667,0.143939393939394,0.147727272727273,0,0.0559701492537313,0.159090909090909,0.0373134328358209,0.0261194029850746,0.0111940298507463,0.00746268656716418,0.0111940298507463,0.00746268656716418,0.174242424242424,0.00746268656716418,0.041044776119403,0.08984375,0.0485074626865672,0.166666666666667,0.0149253731343284,0.170454545454545,0.0522388059701493,0.0490566037735849,0.15530303030303,0.170454545454545,0.161654135338346,0.0335820895522388,0.159090909090909,0.048689138576779,0.0373134328358209,0.0111940298507463,0.0522388059701493,0.0299625468164794,0.0447761194029851,0.169811320754717,0.0597014925373134,0.0298507462686567,0.0597014925373134
"denovo16192",0.161654135338346,0.0631970260223048,0.0597014925373134,0.192452830188679,0.20377358490566,0.177358490566038,0.029520295202952,0.169811320754717,0.0367647058823529,0.0817843866171004,0.215094339622642,0.0671641791044776,0.0330882352941176,0.0477941176470588,0.184210526315789,0.0367647058823529,0.0817843866171004,0.17910447761194,0.161654135338346,0.177358490566038,0.157894736842105,0.161654135338346,0.0559701492537313,0,0.169811320754717,0.0817843866171004,0.0708955223880597,0.0634328358208955,0.0597014925373134,0.0634328358208955,0.0597014925373134,0.2,0.0597014925373134,0.0855018587360595,0.12015503875969,0.0929368029739777,0.177358490566038,0.0671641791044776,0.19622641509434,0.0441176470588235,0.0371747211895911,0.166037735849057,0.2,0.17910447761194,0.0780669144981413,0.169811320754717,0.025830258302583,0.0817843866171004,0.0634328358208955,0.0367647058823529,0.0671641791044776,0.0294117647058824,0.184210526315789,0.00367647058823529,0.0557620817843866,0.00367647058823529
"denovo29478",0.179775280898876,0.150943396226415,0.151515151515152,0.182835820895522,0.107407407407407,0.0740740740740741,0.140151515151515,0.00738007380073801,0.150943396226415,0.158490566037736,0.176691729323308,0.15530303030303,0.150943396226415,0.162264150943396,0.0780669144981413,0.147169811320755,0.158490566037736,0.162962962962963,0.187265917602996,0.0740740740740741,0.183520599250936,0.187265917602996,0.159090909090909,0.169811320754717,0,0.158490566037736,0.162878787878788,0.162878787878788,0.159090909090909,0.151515151515152,0.159090909090909,0.186567164179104,0.159090909090909,0.162264150943396,0.217391304347826,0.162264150943396,0.0740740740740741,0.15530303030303,0.190298507462687,0.150943396226415,0.148854961832061,0.003690036900369,0.190298507462687,0.162962962962963,0.154716981132075,0.0851851851851852,0.143939393939394,0.158490566037736,0.15530303030303,0.154716981132075,0.147727272727273,0.147169811320755,0.0817843866171004,0.173584905660377,0.147169811320755,0.173584905660377
"denovo6071",0.158490566037736,0.0483271375464684,0.0373134328358209,0.173584905660377,0.184905660377358,0.169811320754717,0.0597014925373134,0.158490566037736,0.0669144981412639,0.00743494423791821,0.185606060606061,0.0447761194029851,0.0631970260223048,0.0780669144981413,0.176691729323308,0.0669144981412639,0.00743494423791821,0.179775280898876,0.166037735849057,0.169811320754717,0.162264150943396,0.166037735849057,0.0373134328358209,0.0817843866171004,0.158490566037736,0,0.0485074626865672,0.041044776119403,0.0373134328358209,0.041044776119403,0.0373134328358209,0.184905660377358,0.0373134328358209,0.0111524163568773,0.105058365758755,0.0185873605947955,0.169811320754717,0.0447761194029851,0.181132075471698,0.0669144981412639,0.0601503759398496,0.154716981132075,0.181132075471698,0.176029962546816,0.00371747211895911,0.166037735849057,0.0634328358208955,0.00743494423791821,0.041044776119403,0.0669144981412639,0.0522388059701493,0.0594795539033457,0.169172932330827,0.0855018587360595,0.0520446096654275,0.0855018587360595
"denovo42538",0.15530303030303,0.0373134328358209,0.0261194029850746,0.166666666666667,0.208333333333333,0.181818181818182,0.0561797752808989,0.162878787878788,0.0634328358208955,0.0485074626865672,0.190114068441065,0.0335820895522388,0.0597014925373134,0.0746268656716418,0.184905660377358,0.0634328358208955,0.0485074626865672,0.172932330827068,0.15530303030303,0.181818181818182,0.151515151515152,0.15530303030303,0.0261194029850746,0.0708955223880597,0.162878787878788,0.0485074626865672,0,0.0298507462686567,0.0261194029850746,0.0298507462686567,0.0186567164179104,0.181818181818182,0.0261194029850746,0.0522388059701493,0.1015625,0.0597014925373134,0.181818181818182,0.0335820895522388,0.178030303030303,0.0634328358208955,0.060377358490566,0.159090909090909,0.178030303030303,0.172932330827068,0.0447761194029851,0.174242424242424,0.0599250936329588,0.0485074626865672,0.0298507462686567,0.0634328358208955,0.0411985018726592,0.0559701492537313,0.184905660377358,0.0746268656716418,0.041044776119403,0.0746268656716418
